text,label
какие аптеки будут так в принципе да,4.0
2 английский,1.0
девушка вы меня слышите я короче у всех куда ни вы меня уже задолбали это рода,2.0
вы откуда это алло алло,1.0
ооо да,1.0
на данный момент сейчас это не интерес,2.0
в принципе не надо спасибо всего хорошего,2.0
будущее х** копейки передам пока не поделаете потом хожу умаляю каждый день б****,4.0
некогда мне нет,2.0
вам звательная картинки или как,2.0
из москвы в красноярск отправляю завода что,4.0
круто круто,1.0
не надо нам кредиты,2.0
хорошо хорошо хорошо хорошо спасибо спасибо ага,1.0
я вообще то ничего не собираюсь заказывать поэтому не надо,2.0
слышу не слышу,1.0
девушка вы мне пожалуйста извините мне 2000000 не надо я как бы сам себе разберусь ну простите мне и не надо,2.0
в принципе актуально,4.0
так уже только что да,2.0
а каком товаре речь идет вы куда звоните,1.0
как вам обращался но мне отказали алло,1.0
subscriber o v да,4.0
нет интересно отметьте себе никогда не буду интересно хорошо,2.0
в течение 2 3 дней,4.0
не только 2,5 мест только января я устроена варь февраль маз,4.0
вам нечего я до этого коронавирус какие вам каганер,2.0
нахожусь в данный момент извините пожалуйста,1.0
о чем девушка вот о чем разговаривать мне сейчас ничего не надо,2.0
не знаю даже индопомит спрос мало честно говоря,2.0
а мне пока не надо как надо будет поет,2.0
а понравились а понравились,4.0
надежда вы оператор алло,3.0
возможно это на почтовый ящик да,1.0
у перезвоните,1.0
а еще раз не пон,1.0
ой девушка я просто продавец я не могу вам ничего сказать ой девушка я просто продавец я не могу вам ничего сказать,2.0
е некогда заниматься вот этими вот вопросами извините у меня много работы всего доброго,2.0
ры алло,1.0
нет не интересно пока пока не надо,2.0
ну я сейчас на работе давай,1.0
ну девушка пока нет,2.0
времени нет,2.0
астрахань да,1.0
татарстан казань,1.0
индапамид да точно ест,1.0
можно еще раз повторить у меня просто связь жевать,1.0
здрасьте да слушаю здрасьте да слушаю,1.0
я ничего не поняла вы так быстро сказали все,1.0
санкт петербург жда компания алло,4.0
мне пока не надо я уже нет мне пока не надо я уже нет,2.0
мы не возим ничего.,2.0
ты сказала да,4.0
о чем пойдет разговор,1.0
а прованс можно там сделать алло,4.0
ао тинькофф,2.0
кто але ало,4.0
а не интересно до свидания,2.0
сюда на 10 да алло,4.0
я вам ничего объяснять не,2.0
мне интересно,1.0
оставайтесь на линии вам обязательно ответит оператор пожалуйста оставайтесь на линии,4.0
на 50% или да нет,2.0
ну да если это реально ну да если это реально,4.0
у меня уже поменяно не надо мне,2.0
ой спасибо большое я и пользуюсь тогда когда мне нужно спасибо,2.0
спасибо за звонок я перезвоню,4.0
да ну пока я не могу планируешь поездку,1.0
я хочу связаться с оператором я хочу связаться с оператором,3.0
ой это нас стекол они занимаются еще раз позвоните,4.0
если платно нет,4.0
меня не интересует ничего не надо мне меня не интересует ничего не надо мне,2.0
по ведомую нерет правда ну,2.0
извините пожалуйста мне ничего не надо,2.0
я собирается никуда,4.0
мне ничего не нужно просто я в таком стане сейчас нахожусь простите пожалуйста,2.0
мы сегодня с проблемам я разговаривала с вашим оператором проблем,1.0
нет нет еще раз,2.0
да скажите мне пожалуйста почем надо на сегодняшний день положить,4.0
в какое агентство,1.0
а почему нет законных оснований нет не доступен,2.0
я вам задал вопрос каких производителей вы представляете я вам задал вопрос каких производителей вы представляете,1.0
ну фара на ц икс 9 мазда есть,4.0
привет кто это,1.0
90000 р 90000 р кому на подожди,4.0
связи с оператором оставайтесь на линии связи с оператором оставайтесь на линии,4.0
ну вы очень быстро я ничего не поняла что вы меня хвалили,4.0
я вам супруга своему дам хорошо,1.0
спасибо я не нуждаюсь пока спасибо извините до свидания,2.0
ну вы знаете я как то ничего не хочу в этих салонах,2.0
ну ты,4.0
ничего есть я сейчас не могу разговаривать,2.0
еще раз повторите пожалуйста препарат алло,4.0
не знаю сезон,2.0
алена пока все не надо,2.0
я не смогу туда подъехать поэтому да,2.0
ну вы выкупить за наличку ну вы выкупить за наличку,1.0
ам да внесу,1.0
не ну да,4.0
я давно это самое сейчас не в москве нахожусь вот по этому нет,2.0
а спасибо большое,1.0
вот что это такое повторите пожалуйста то что я вот внуку,4.0
добрый день давно не звонили давно не звонили,1.0
здрав да,1.0
отправили ко мне да,4.0
город щелково,4.0
а покупать мы точно не будем естественно не располагает,1.0
а можно продать,1.0
а а да хватит,1.0
этот плати да есть,4.0
день месяц и вот дату вашего рождения для перевода на оператора,1.0
услышали меня нет,2.0
что это такое какой да,1.0
мой ничего не приходит алиса да,2.0
а сейчас он настоящие ничего сказала,4.0
я не поняла откуда вы звоните я не поняла откуда вы звоните,4.0
со мне не надо,2.0
ага сухой,4.0
внутренний номер сотрудника приберите его в тоновом режиме если вы нуждаетесь в экстренный по,2.0
созвонятся не знает куда звонят потом оказывается не надо звонить вам,2.0
совсем я в магазине мне неудобно давайте позже,2.0
наверное правда,1.0
я согласен да,1.0
добрый день да говорит,1.0
ну больше я знаю,1.0
а все в курсе этой информации я уже отвечала сегодня вашему оператору,4.0
я дома я не поняла кто вы откуда сейчас я сделаю потише подожди выключи,2.0
ну можно попозже,1.0
ну мне ничего там сейчас не надо,2.0
интересно откуда звоните,1.0
ну да тана,2.0
а можете да,1.0
ну думаем да пока,1.0
скажем,4.0
да дорогая,1.0
кобы компоненты а пригали стоит последнее поколение да,4.0
я ничего не поняла что вы сказали я ничего не поняла что вы сказали,4.0
добрый день данный номер принадлежит компании межеге нальный транзит телеком,4.0
сейчас я не могу,2.0
давайте я уже прям извиняю сейчас неудобно мне говорить а по поводу,2.0
о что то не дает никто,2.0
ой спасибо большое мне ничего не надо,2.0
надежда спасибо не очень удобно,2.0
а пенсии еще как до луны ради бога я вот умоляю некогда,2.0
за счет чего она вдруг увеличится на три тысячи из какой такой стати,4.0
по поводу чего говорить я знаю это,1.0
ну только неожидано мне,1.0
соединиться с отделом продаж нажмите один чтобы соединиться с отделом закупок нажми,1.0
вы хотели да,1.0
а мне уже не надо,2.0
все пожалуйста до свидания все пожалуйста до свидания,2.0
алло туда,2.0
привет ну даже не да,1.0
плохо слышно просто сейчас на остановке находимся вот едем точнее на установку да,2.0
посмотрю а куда подъехать на а куда подъехать на,4.0
ой вы знаете а мне не надо,2.0
ой девчат я даже не знаю давайте,2.0
неа неа,4.0
мне в этого отеке ничего не надо,2.0
куда подъехали заправлял куда подъехали заправлял,4.0
ну давайте все равно какой то ответ надо да,1.0
я не слышал о ничего я сейчас называть тоже,4.0
кулинара ход кондитерская да кухня тоже у нас,4.0
переадресацию звонков наш колл центр данный абонент является нашим клиентом и все звонки открыть,4.0
звонить куда,2.0
я не поняла вы чего сказали так бы быстро все сказали ничего не поняла,1.0
интересная девушка интересно слушай дальше,1.0
не интересует ваше предложение большое вам спасибо будьте да,2.0
ну готов например среду,1.0
вы можете перезвонить через час вы можете перезвонить через час,4.0
у меня пенсия по инвалидности а возрасту яние пенсионер,4.0
здрасте,4.0
так а какой город если я в костроме нахожусь я не поеду уже на другой город,1.0
спасибо будешь да буду,1.0
это насчет вчерашнего да,4.0
вообще почему мне звоните вам никогда не обращалась по моему,1.0
передача или нет,4.0
девушка вы попали просто магазин как бы да никак была,4.0
добрый дань я слухаю,1.0
во сколько алло алло,1.0
а я видела приходило сообщение то сегодня за это посмотрю если успею сегодня или завтра,1.0
еще раз не слышала,1.0
плохой бот я там и какой говорит ехать могу,3.0
угу алиса давай до свидания,2.0
пока нет пока нет все пока некогда просто,2.0
нет спасибо я передам информацию руководителю он,2.0
дальше алло алло,1.0
нам ничего не требуется,2.0
сайт какой то у вас там есть как то,4.0
а вы знаете я обращалась уже вот в такой организации так что сейчас пока не,4.0
нет не надо мне на какую вам как то не рассматривают се валенты,2.0
это туда да,1.0
наталья я была только что я отказалась колонка немножко богн тая и,4.0
мне не чем не буду разговаривать вы будете предлагать мне что такие услуги не нуждаюсь спасибо,2.0
могу,1.0
спасибо надежда добрый вечер спасибо ничего менять пока не интересно,2.0
а еще не определился извините но в общем я увидел сообщение дани,2.0
я понял я с роботом да говорю не слышно,2.0
можно посуда,1.0
1 один,4.0
если не более 2 минут да,1.0
я сейчас все передам уже выйти,1.0
за актуально,1.0
можете пожалуйста еще раз до здания можете пожалуйста еще раз до здания,4.0
извините подождите але,4.0
а ход,4.0
щащещенный пущу але,3.0
я не нуждаюсь в это,2.0
здравствуйте алло что то я вас не слышу,1.0
какой товар от вы куда звоните какой товар от вы куда звоните,4.0
марафон да,1.0
если вас не,4.0
лада меня зовут жидская юлия здравствуйте,2.0
я уже давно забрала заказа у меня недлежит я уже давно забрала заказа у меня недлежит,1.0
а ничего я не желаю,2.0
добрый день ветеран доктор жива да,2.0
так да нет,2.0
а что за компания ван дам телефон,2.0
нет нет,2.0
как еще раз можете сказать алло,3.0
не нужно спасибо большое в суде работаю куда мне там пить чиханию приткнуть,2.0
спасибо за звонок но мне ничего не надо,2.0
для получения дополнительной информации компании наберите два для повторного послушать,4.0
подождите скажите это какой блендер подождите скажите это какой блендер,4.0
новые да а слушай,1.0
ой сейчас это нет,2.0
неудобно я болею карнозином не сейчас не дала,1.0
подождите что еще раз,4.0
ну нормально давайте алло,1.0
нажал,1.0
слухает удали там то подкачка то ну у нас сразу и,1.0
представьтесь пожалуйста кто вы откуда алло,4.0
да собственник да собственник,1.0
мне пока ничего не нужно вопросов нет,1.0
иди сюда я тебя накладываю иди сюда я тебя накладываю,4.0
а нет на данный надо,2.0
когда будет мне интересно,4.0
я никакого объявления не давала что за квартира,4.0
зводственный объединение аквабиом для соединения с отделом продаж нажмите один,4.0
сколько стоят ваши услуги сколько стоят ваши услуги,1.0
алло приведение можно 1000030,2.0
два далеком кс кондиционирование вентиляция связь нажмите три иликом тб транс,4.0
ой ничего не надо до свидания,2.0
повторите алло алло,1.0
здравствуйте да слушай але,1.0
спасибо а сейчас не надо,2.0
пока нет,2.0
давайте я вам да,1.0
нет нет нет не туда попали уже,2.0
подождите я не знаю,4.0
чего чего я не поняла ударит,4.0
не не не не надо ладно давай,2.0
да знаю алло,4.0
доброго дня давай,1.0
ну в принципе да алло,1.0
с вами разговаривать мне не да,1.0
ты мне звонить да,4.0
абонент временно не датут,2.0
я сейчас на работе или чем другим заниматься не собираюсь да,2.0
понравились,1.0
ли честно да,1.0
ну как бы я знаю вас солоница мне что то на золотом пока не надо,2.0
понравились да,1.0
нет давно сдали квартиру,2.0
где вообще что получать в каком городе,1.0
доброе да,1.0
в среду в среду,1.0
и мне звони нет,2.0
я стреляю да,1.0
нет спасибо мы уже открыли расчетный счет а дальше пока там будем дальше смотреть уже,2.0
2 чтобы узнать о методах оплаты 3 чтобы узнать условия гарантии возврата товаров,4.0
просто санфорд сейчас секунду,4.0
вы знаете вот мне сейчас не нужно ничего тапеник спасибо вам большое,1.0
а говорите говорите да,1.0
что то это все вернула это мархама надо отдать что то это все вернула это мархама надо отдать,4.0
ты нет ничего мне не надо,2.0
попали на переадресацию звонков на школу центр данный абонент является нашим клиентом и все звонки от креди,2.0
не надо я все нормально с высоким скажем до свидания спасибо,2.0
еще раз тела формула как магазин назвать,4.0
со мной разговаривать человек или робот,3.0
вы кто вообще вы не перепутали меня с кем то вы кто вообще вы не перепутали меня с кем то,4.0
не совсем да,4.0
если буквально минуту очень быстро,1.0
просто скажите сколько раз,3.0
любой любой,1.0
чем вы давай,1.0
я уже его получил сегодня день я отдал я уже его получил сегодня день я отдал,4.0
вы ничего не перепутали какой заказ какая новая почта вы ничего не перепутали какой заказ какая новая почта,4.0
повидон нет правда,4.0
наполовину да,1.0
давайте завтра в четверг,1.0
вы знаете у нас посуточная аренда квартир,1.0
краснеть краснеть,4.0
о о,4.0
скажите скажите,1.0
пучит сегодня закрою,4.0
спасибо ладно,1.0
настя ало я вас слушаю,4.0
да а нет да а нет,1.0
поэтому поступил да,1.0
здравствуйте так сейчас нет пока наверное ближе к середине года,1.0
продаю вы кто,4.0
я даже получила свой заказ сегодня,1.0
а а алло повторите не слышно,2.0
егор есть продаже алло,4.0
сдобно да,2.0
я не поняла что вы так меня ходить то куда я не понимаю что мне надо,2.0
по кому,1.0
мне сейчас некогда,2.0
смотря куда вы звоните смотря куда вы звоните,4.0
ты дура что не слышишь ничего сейчас я номер телефона за пробела инсультом тебя,2.0
алло добрый день извините а вы откуда звоните алло добрый день извините а вы откуда звоните,1.0
если будет покупать,4.0
пока до 15 февраля заказные торты не делается,2.0
извините мне неудобно совсем досвидания,2.0
а так вы да,1.0
мы вам уже выбрала кого приду заберу,1.0
дома,4.0
очно да,1.0
на данный момент не интересует,2.0
да действительно возникает ощущение,1.0
так девушка до свидания меня это не интересует так девушка до свидания меня это не интересует,2.0
да топ топ,1.0
да я да я,1.0
я не поняла за что штраф и вообще о чем вы говорите еще раз объясни,4.0
алиса ну да алло,2.0
чего чего чего тридцать рублей на мою карту,2.0
давайте скидывает чтобы 90 да,2.0
я хочу продлить но у меня там что то не получается я позже попробую еще раз нажимала продлить,1.0
наберите сто семь с отделом закупок сто двенадцать или дождитесь ответа оператора,4.0
а вы робот или человек да,3.0
да если ты опять вы то до свидания да если ты опять вы то до свидания,2.0
спасибо нам там ничего не надо,2.0
а оператор лучше обои правильно,1.0
я не поняла откуда она какой,2.0
а каких что да,1.0
хотите сделать заказ нажмите 1 желайте забронировать стол нажми,2.0
ну я думаю уже сегодня смогу забрать ну я думаю уже сегодня смогу забрать,4.0
и але але,4.0
поставил вызов на удержание пожалуйста подождите the subscriber you have dialed is b,2.0
дома люда да,1.0
ну в в какой форме сотрудничать сотрудничать в чем,1.0
что заказ седан что заказ седан,4.0
я схожу куда надо и тогда,4.0
а где чего вы взяли что я предприниматель а где чего вы взяли что я предприниматель,4.0
сейчас слышу говорите,1.0
это уже 3 вопрос это уже третий вопрос,1.0
ну ладно алло,4.0
санто вот сейчас какой то пришел да память сейчас смотри какое,1.0
наконец да,1.0
сделать звук я не слышу это очень,4.0
ну в рассрочку да,1.0
акито туп пластырь да был честно,4.0
ну в неделю ну в месяц раз пять,4.0
а вы откуда николай алло,1.0
нам никто не да,1.0
ну в принципе а в какой сумме идет речь ну в принципе а в какой сумме идет речь,1.0
ну да страничка,1.0
не мешайте работать вас уже 1 раз скинули что быть таким навящиво да,2.0
все чего вы,1.0
нет не тебе от продажа квартиры,2.0
да я буду продолжать але,1.0
будем проливать,4.0
да мы работаем да мы работаем,1.0
да как то так вот и предлагали уже эти услуги никого нам,4.0
а ну интересно,1.0
да сейчас секундочку,1.0
дальше что что вы хотели,1.0
это когда надо идти алло,3.0
будет создавать,4.0
выдача с крынка,1.0
так не поняла сайт куда алло,4.0
пожалуйста давайте,1.0
все операторы заняты,2.0
я сказал тоже,4.0
хорошо да спасибо,1.0
ну у нас делать нивы черное мы можем вам только под заказ так,2.0
а я не знаю но настоящие да,2.0
да было бы интересно но боюсь не прям сейчас,2.0
сейчас одну секунду не поня еще раз девушка,4.0
возможно может быть,4.0
ну будет интересно сам банк я по телефону даже об этом разговаривать,2.0
да уж,4.0
нет благодарю,4.0
я хочу,1.0
не не интересно нечего ремонтировать,2.0
6 извините селении в данный момент заняты перезвоните пожалуйста позднее,2.0
не не надо ниче,2.0
а да я слушаю говорите пожалуйста,1.0
нет не надо мне пока,2.0
а вы мне чего звоните,1.0
да алло вы пропадаете,4.0
это кто откуда да,1.0
мне напланировал я знаю я постараюсь сегодня завтра закрыть его,2.0
сейчас я сейчас за рулем давай чуть,4.0
да сейчас посмотрю,1.0
ну больше всех дожди да,1.0
предлагаю б**** давай,2.0
слушай ну я не могу жить не на что я не могу ничего сделать что мне в этой ситуации девушка,1.0
а тогда,1.0
а я не пошли да,2.0
нам надо интернет да,1.0
поняла б**** да это зна,2.0
я посмотрела неделю,4.0
еще раз это автосалон да,1.0
алло еще раз не понял,2.0
я бы давал интернет заявку не веник сейчас вашему сотруднику,2.0
вот мода,2.0
ну скажите еще раз ну говорите,1.0
а в какого извините банка сердючка алло,4.0
вы знаете я сейчас уезжаю на дальний восток на работу пока не смогу тебе,4.0
компания алло алло,1.0
не никогда не,2.0
3 5 миллиграмм да есть сейчас,1.0
девушка мне все равно не дадут у меня была просрочка четыре теперь она погашена но они,1.0
спасибо мне ничего не надо спасибо спасибо мне ничего не надо спасибо,2.0
мне сейчас ничего не нужно и выйти я не могу,2.0
ну девушка говорите я на работе быстрее говорите,1.0
подарочных карт и сертификатов нажмите 3 по остальным вопросам и для соединения с интересующим баскино,2.0
мама да да да,1.0
досвиданья,2.0
вы знаете нам слава богу ничего пока не надо,2.0
да только попозже,1.0
я заказал да,1.0
давай выключай,1.0
да наталья я видела или сегодня или завтра,4.0
еще раз назовите как просто,4.0
вы знаете я ничего не слышу я да,4.0
384 алло,1.0
вы не планировала она так вышло сейчас планировать ничего нельзя наше время,2.0
вымойте по поводу перевозки да,4.0
а да пока,1.0
я я знаю его я жду роше сегодня завтра с днем дения я уже плачу,1.0
это что кредит что ли предлагаете да,1.0
ну это для чего вы объясните вы не объясняете ну бизнес,2.0
ну иногда,4.0
там какая банкета идет,4.0
а вы кто какой,1.0
радищего увеличить и все уменьшает,1.0
ну попробуем давайте на какую тему то я не пойму алло,2.0
девочки я уже аптеками не работаю что мне без конца звоните,2.0
и дальше там нет,1.0
2 алло,4.0
еще раз скажите пожалуйста алло,1.0
але внимательно слушаю,4.0
я не поняла откуда вы звоните,1.0
это тут да,1.0
сейчас я не могу никцо нно разговаривают я тоже есть повторок,4.0
дели да,1.0
на данном дате нет,2.0
ну если будет клиент реальной то принципе его можно,4.0
перерасчет пенсии и что для этого надо перерасчет пенсии и что для этого надо,1.0
у меня всегда удобно,1.0
надежда вот честно говоря нет,2.0
ну могу я объяснить почему информации очень много,4.0
благодарим за ваше обращение,1.0
забей забей,4.0
нет никогда не давали пожалуйста,2.0
ну за рулем ну давай,1.0
да смотря какой интернет магазин,2.0
да еду,1.0
спасибо нет спасибо мне не нужен кредит до свидания,2.0
пожалуйста перезвоните позднее,1.0
