N,1. Field name,2. Reservoir unit,3. Country,4. Region,5. Basin name,6. Tectonic regime,7. Latitude,8. Longitude,9. Operator company,10. Onshore or offshore,11. Hydrocarbon type (main),12. Reservoir status (current),13. Structural setting,14. Depth (top reservoir ft TVD),15. Reservoir period,16. Lithology (main),17. Thickness (gross average ft),18. Thickness (net pay average ft),19. Porosity (matrix average %),20. Permeability (air average mD)
30,ALPINE,ALPINE,USA,NORTH AMERICA,NORTH SLOPE,COMPRESSION,70.3266,-150.892,CONOCOPHILLIPS,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND,6600,JURASSIC,SANDSTONE,50.0,49.0,20.0,15.0
31,ALTAMONT-BLUEBELL,GREEN RIVER AND COLTON/WASATCH,USA,NORTH AMERICA,UINTA,COMPRESSION,40.3,-110.21,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,15250,PALEOGENE,SANDSTONE,8000.0,575.0,5.0,0.1
32,ALWYN NORTH,BRENT (BRENT EAST),UK,EUROPE,NORTH SEA NORTHERN,INVERSION/COMPRESSION/EXTENSION,60.7833,1.7333,TOTAL,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,9790,JURASSIC,SANDSTONE,886.0,344.0,17.0,500.0
33,ALWYN NORTH,STATFJORD,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,60.7833,1.7333,TOTAL,OFFSHORE,GAS-CONDENSATE,MATURE PRODUCTION,RIFT,10545,TRIASSIC-JURASSIC,SANDSTONE,869.0,512.0,13.5,330.0
36,ANASAZI,PARADOX (DESERT CREEK),USA,NORTH AMERICA,PARADOX,COMPRESSION/EXTENSION/EVAPORITE,37.0789,-109.2333,RIM ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,5575,CARBONIFEROUS,DOLOMITE,80.0,46.0,14.0,15.0
37,ANDREW,LISTA (ANDREW SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,58.0479,1.4208,BP,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/RIFT,7595,PALEOGENE,SANDSTONE,541.0,367.0,20.0,200.0
38,ANETH,PARADOX (DESERT CREEK),USA,NORTH AMERICA,PARADOX,COMPRESSION/EXTENSION/EVAPORITE,37.3038,-109.2469,CHEVRON /EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,5470,CARBONIFEROUS,DOLOMITE,100.0,50.0,10.0,15.0
40,ANGUS,ANGUS SAND,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION/EROSION,56.1648,3.0593,AMERADA HESS,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,10130,JURASSIC,SANDSTONE,100.0,60.0,18.0,3000.0
41,ANKLESHWAR,ANKLESHWAR (HAZAD-ARDOL),INDIA,FAR EAST,CAMBAY,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,21.6,72.9167,ONGC,ONSHORE,OIL,MATURE PRODUCTION,WRENCH/RIFT,2950,PALEOGENE,SANDSTONE,670.0,0.0,21.0,250.0
43,ANSCHUTZ RANCH EAST,NUGGET,USA,NORTH AMERICA,WESTERN OVERTHRUST,COMPRESSION,41.0799,-111.0518,BP,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SUB-THRUST,12370,JURASSIC,SANDSTONE,1020.0,816.0,10.0,3.0
44,ANTRIM SHALE,ANTRIM SHALE (NORWOOD-LACHINE),USA,NORTH AMERICA,MICHIGAN,STRIKE-SLIP/TRANSPRESSION,44.95399999999999,-84.6603,NUMEROUS,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,500,DEVONIAN,SHALE,100.0,80.0,4.0,10.0
48,ARDJUNA-B,CIBULAKAN,INDONESIA,FAR EAST,JAVA NORTHWEST,INVERSION/COMPRESSION/EXTENSION,-5.895,107.6981,BP,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,2310,NEOGENE,LOW-RESISTIVITY SANDSTONE,1197.0,263.0,26.0,300.0
54,ARLAN,KASHIRA-PODOL,RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,,55.8569,54.3689,BASHNEFT,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2760,CARBONIFEROUS,DOLOMITIC LIMESTONE,141.0,26.0,,24.0
55,ARUN,ARUN LIMESTONE (PEUTU),INDONESIA,FAR EAST,SUMATRA NORTH,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,5.0542,97.2583,EXXONMOBIL,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,BACKARC,9460,NEOGENE,LIMESTONE,770.0,500.0,16.0,13.5
56,ASAB,THAMAMA ZONE B-C,UAE,MIDDLE EAST,RUB AL KHALI,COMPRESSION/EVAPORITE/EXTENSION/LINKED,23.298000000000002,54.2216,ADCO,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,7850,CRETACEOUS,LIMESTONE,274.0,250.0,30.0,20.0
57,ASHTART,EL GARIA,TUNISIA,AFRICA,PELAGIAN,EXTENSION,34.29,11.3989,SEREPT,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8800,PALEOGENE,LIMESTONE,295.0,246.0,17.2,42.0
61,AUGER,S SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,,27.5458,-92.443,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/SALT/PASSIVE MARGIN,15840,NEOGENE,THINLY-BEDDED SANDSTONE,200.0,170.0,,150.0
63,AUK,ROTLIEGEND (AUK),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION/EROSION,56.4125,2.0286,SHELL,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,7044,PERMIAN,SANDSTONE,980.0,840.0,19.0,5.0
64,AUK,ZECHSTEIN (HALIBUT),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,56.4125,2.0286,SHELL,OFFSHORE,OIL,DEPLETED,RIFT,7044,PERMIAN,DOLOMITE,30.0,30.0,13.0,53.0
66,AWALI,KHUFF,BAHRAIN,MIDDLE EAST,THE GULF,COMPRESSION/GRAVITY/EVAPORITE/EXTENSION/LINKED,26.0333,50.5333,BAHRAIN NATIONAL OIL CO,ONSHORE,GAS,UNKNOWN,SALT/FORELAND,8943,PERMIAN,DOLOMITE,2100.0,445.0,11.0,25.0
67,AWALI,MAUDDUD,BAHRAIN,MIDDLE EAST,THE GULF,,26.0333,50.5333,BAHRAIN NATIONAL OIL CO,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,2233,CRETACEOUS,LIMESTONE,110.0,110.0,,63.0
69,BAB,THAMAMA ZONE B,UAE,MIDDLE EAST,RUB AL KHALI,,23.875,53.5375,ADCO,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,8460,CRETACEOUS,LIMESTONE,144.0,127.0,,30.0
79,BADR EL DIN-1,BAHARIYA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8589,28.5229,BAPETCO,ONSHORE,OIL,MATURE PRODUCTION,RIFT,11175,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,115.0,46.0,12.0,15.0
81,BADR EL DIN-2,ABU ROASH G,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8698,27.7164,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,7087,CRETACEOUS,SANDSTONE,476.0,95.0,21.5,55.0
82,BADR EL DIN-2,BAHARIYA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8698,27.7164,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,7546,CRETACEOUS,SANDSTONE,361.0,148.0,20.0,225.0
85,BADR EL DIN-3,KHARITA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.840999999999998,27.915,BAPETCO,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11200,CRETACEOUS,SANDSTONE,1378.0,446.0,14.0,340.0
86,BADRI,BELAYIM,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION/EVAPORITE,28.2349,33.4649,GUPCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SUB-SALT/RIFT,5025,NEOGENE,SANDSTONE,285.0,117.0,24.0,300.0
87,BADRI,KAREEM,EGYPT,AFRICA,GULF OF SUEZ,,28.2349,33.4649,GUPCO,OFFSHORE,OIL,THIRD PLATEAU PRODUCTION,SUB-SALT/RIFT,5671,NEOGENE,SANDSTONE,1000.0,290.0,,50.0
88,BAHAR,PRODUCTIVE SERIES (PERERIVA-BALAKHANY),AZERBAIJAN,FORMER SOVIET UNION,CASPIAN SOUTH,,40.0822,50.0975,SOCAR,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,14650,NEOGENE,SANDSTONE,1000.0,490.0,,40.0
89,BAI HASSAN,MAIN LIMESTONE,IRAQ,MIDDLE EAST,ZAGROS,COMPRESSION/EVAPORITE,35.6378,44.0272,INOC,ONSHORE,OIL,REJUVENATING,FORELAND,2450,PALEOGENE-NEOGENE,LIMESTONE,900.0,285.0,20.0,50.0
90,BAIKOUQUAN,BAIKOUQUAN,CHINA,FAR EAST,JUNGGAR (ZHUNGEER),COMPRESSION/EROSION,45.9306,85.0333,PETROCHINA,ONSHORE,OIL,REJUVENATING,SUB-THRUST,6970,TRIASSIC,CONGLOMERATE,525.0,100.0,12.2,71.2
91,BAIRAM-ALI,SHATLYK,TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,,38.0,61.88,TURKMENGAS,ONSHORE,GAS,ABANDONED,FORELAND,9090,CRETACEOUS,SANDSTONE,230.0,197.0,,123.0
93,BALAM SOUTH,TELISA 600,INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,1.6669999999999998,100.73299999999999,CALTEX PACIFIC,ONSHORE,OIL,REJUVENATING,INVERSION/BACKARC,1060,NEOGENE,LOW-RESISTIVITY SANDSTONE,120.0,70.0,32.0,68.0
95,BALDPATE,BIG SAND,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,27.69,-91.73,AMERADA HESS,OFFSHORE,GAS,PLATEAU PRODUCTION,SALT/PASSIVE MARGIN,13850,NEOGENE,SANDSTONE,118.0,100.0,27.0,836.0
97,BALOL,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION/COMPRESSION/EXTENSION,23.498,72.188,ONGC,ONSHORE,OIL,REJUVENATING,RIFT,3136,PALEOGENE,SANDSTONE,148.0,13.0,28.0,5000.0
102,BARONIA,RR2/RS2,MALAYSIA,FAR EAST,SABAH,GRAVITY/SHALE/EXTENSION/SYNSEDIMENTATION,4.705,113.694,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/WRENCH,6615,NEOGENE,SANDSTONE,375.0,175.0,20.0,185.0
103,BARQUE,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.6204,1.5183,SHELL,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,6900,PERMIAN,SANDSTONE,750.0,570.0,11.0,0.5
104,BARRACOUTA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.2786,147.7094,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,TEMPORARILY SHUT-IN,INVERSION/RIFT,4360,PALEOGENE,SANDSTONE,98.0,49.0,27.0,5000.0
105,BARRACOUTA,LATROBE (N1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.2786,147.7094,EXXONMOBIL /BHP BILLITON,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION/RIFT,3184,PALEOGENE,SANDSTONE,377.0,295.0,25.0,1000.0
109,BEAVER LODGE,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.2713,-102.9547,AMERADA HESS,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8350,CARBONIFEROUS,LIMESTONE,120.0,20.0,6.0,1.0
114,BELAYIM MARINE,RUDEIS-KAREEM,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION/EVAPORITE,28.603,33.1278,PETROBEL,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT/RIFT,7090,NEOGENE,SANDSTONE,1300.0,500.0,18.0,400.0
117,BELL CREEK,MUDDY,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,45.1039,-105.0967,SAMUEL GARY,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4300,CRETACEOUS,SANDSTONE,45.0,23.0,28.5,2250.0
120,BERRI,HANIFA,SAUDI ARABIA,MIDDLE EAST,THE GULF,COMPRESSION/EVAPORITE,26.9833,49.6167,SAUDI ARAMCO,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND,7500,JURASSIC,LIMESTONE,270.0,190.0,17.0,50.0
121,BERYL,BERYL,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9200,JURASSIC,SANDSTONE,500.0,425.0,17.0,350.0
123,BERYL,LINNHE,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,UNKNOWN,RIFT,9600,JURASSIC,SANDSTONE,300.0,120.0,14.0,100.0
124,BERYL,NANSEN,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,UNKNOWN,RIFT,9959,JURASSIC,SANDSTONE,180.0,144.0,18.0,200.0
125,BIBI HAKIMEH,ASMARI,IRAN,MIDDLE EAST,ZAGROS,COMPRESSION/EVAPORITE,30.0572,50.6384,NIOC,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3150,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,1600.0,672.0,9.0,1.0
126,BIG SANDY,OHIO SHALE,USA,NORTH AMERICA,APPALACHIAN,,37.7682,-82.4974,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,2200,DEVONIAN,SHALE,600.0,100.0,,0.002
128,BILLINGS NOSE,MISSION CANYON (BIG STICK FIELD),USA,NORTH AMERICA,WILLISTON,EXTENSION,47.1,-103.32,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,9450,CARBONIFEROUS,DOLOMITE,100.0,18.0,17.0,20.0
130,BINDLEY,WARSAW,USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,38.1838,-99.9569,CONOCOPHILLIPS AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4580,CARBONIFEROUS,DOLOMITE,50.0,12.0,15.0,35.0
131,BLACK LAKE,SLIGO (PETTET),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,31.9486,-92.932,PLACID OIL,ONSHORE,GAS-CONDENSATE,MATURE PRODUCTION,PASSIVE MARGIN,7790,CRETACEOUS,LIMESTONE,150.0,72.5,15.0,133.0
135,BOB WEST,WILCOX (LOPENO SANDS),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/SHALE,26.57,-99.15,SANCHEZ - O BRIEN /COASTAL,ONSHORE,GAS,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,9875,PALEOGENE,SANDSTONE,3000.0,650.0,16.0,0.6
140,BONGKOT,MALAY II,THAILAND,FAR EAST,MALAY,STRIKE-SLIP/INVERSION/COMPRESSION/EXTENSION,8.0876,102.2849,PTTEP,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,WRENCH/INVERSION/BACKARC,3020,NEOGENE,SANDSTONE,3400.0,120.0,22.0,160.0
141,BOONSVILLE,BEND CONGLOMERATE,USA,NORTH AMERICA,FORT WORTH,INVERSION/EXTENSION/COMPRESSION,33.1875,-97.9167,NUMEROUS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,4500,CARBONIFEROUS,CONGLOMERATE,1100.0,73.0,10.0,3.0
150,BRADFORD,CLEVELAND,USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,36.27244,-100.33188,NUMEROUS,ONSHORE,GAS,REJUVENATING,FORELAND,7325,CARBONIFEROUS,SHALY SANDSTONE,350.0,34.0,12.0,0.1
154,BRAGE,FENSFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,60.5868,3.0943,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,6348,JURASSIC,SANDSTONE,123.0,82.0,27.0,80.0
155,BRAGE,STATFJORD,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION,60.5868,3.0943,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,7096,TRIASSIC-JURASSIC,SANDSTONE,312.0,82.0,24.0,1500.0
156,BRANTON,COTTON VALLEY LIME,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,31.3593,-96.2189,MARATHON,ONSHORE,GAS,NEARLY DEPLETED,SALT/PASSIVE MARGIN,14810,JURASSIC,CHALKY LIMESTONE,375.0,200.0,25.0,5.0
157,BRAVO DOME,TUBB,USA,NORTH AMERICA,SIERRA GRANDE UPLIFT,COMPRESSION,36.0049,-103.8177,BP,ONSHORE,CARBON DIOXIDE,PLATEAU PRODUCTION,FORELAND,1960,PERMIAN,SANDSTONE,250.0,120.0,20.0,42.0
158,BREAM,LATROBE (N1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,,-38.5221,147.7981,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,5760,PALEOGENE,SANDSTONE,98.0,52.0,,2900.0
162,BRIDGER LAKE,DAKOTA SANDSTONE (LOWER MEMBER),USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION/EROSION,40.9639,-110.3091,BTA OIL PRODUCERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,15460,CRETACEOUS,SANDSTONE,270.0,35.0,12.8,79.0
163,BRITANNIA,BRITANNIA SANDSTONE,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,58.0824,0.8413,BRITTANIA OPERATOR LIMITED,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11350,CRETACEOUS,SANDSTONE,275.0,120.0,15.0,40.0
164,BU ATTIFEL,SARIR,LIBYA,AFRICA,SIRT,,28.8453,22.1197,ENI,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,13250,CRETACEOUS,SANDSTONE,800.0,490.0,,90.0
165,BU HASA,SHUAIBA,UAE,MIDDLE EAST,RUB AL KHALI,COMPRESSION/EVAPORITE/EXTENSION/LINKED,23.531,53.2953,ADCO,ONSHORE,OIL,SECOND PLATEAU PRODUTION,SALT/FORELAND,7650,CRETACEOUS,LIMESTONE,420.0,290.0,23.0,20.0
167,BUL HANINE,ARAB D,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,25.4333,52.7,QATAR PETROLEUM,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,7270,JURASSIC,LIMESTONE,240.0,140.0,23.0,200.0
168,BUL HANINE,UWAINAT,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,25.4333,52.7,QATAR PETROLEUM,OFFSHORE,OIL,UNKNOWN,SALT/FORELAND,8435,JURASSIC,LIMESTONE,180.0,140.0,14.0,25.0
170,BUNYU,TARAKAN-SANTUL-TABUL-BUNYU,INDONESIA,FAR EAST,TARAKAN,INVERSION/COMPRESSION/EXTENSION/SHALE,3.4708,117.8625,PERTAMINA,ONSHORE,GAS,NEARLY DEPLETED,INVERSION/BACKARC,1115,NEOGENE,THINLY-BEDDED SANDSTONE,8200.0,390.0,25.0,1000.0
171,CABIN CREEK,INTERLAKE,USA,NORTH AMERICA,WILLISTON,,46.5782,-104.4303,SHELL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,8400,SILURIAN,DOLOMITE,400.0,70.0,,5.0
172,CABIN CREEK,RED RIVER,USA,NORTH AMERICA,WILLISTON,COMPRESSION,46.5782,-104.4303,SHELL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,8750,ORDOVICIAN,DOLOMITE,500.0,40.0,13.0,8.0
174,CAHOJ,LANSING-KANSAS CITY,USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,39.9739,-101.1508,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,4030,CARBONIFEROUS,LIMESTONE,265.0,14.0,15.0,10.0
175,CANDEIAS,GOMO (CANDEIAS),BRAZIL,LATIN AMERICA,RECONCAVO,EXTENSION,-12.6634,-38.5668,PETROBRAS,ONSHORE,OIL,MATURE PRODUCTION,RIFT,2116,CRETACEOUS,CONGLOMERATE,1476.0,180.0,15.0,30.0
176,CANO LIMON,LOWER CARBONERA,COLOMBIA,LATIN AMERICA,LLANOS,STRIKE-SLIP/BASEMENT-I,6.943,-71.1397,OCCIDENTAL,ONSHORE,OIL,REJUVENATING,WRENCH/FORELAND,6950,PALEOGENE,SANDSTONE,235.0,126.0,24.0,1450.0
180,CARMOPOLIS,CARMOPOLIS (MURIBECA),BRAZIL,LATIN AMERICA,SERGIPE-ALAGOAS,EXTENSION/EVAPORITE/GRAVITY,-10.6588,-36.9488,PETROBRAS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1788,CRETACEOUS,CONGLOMERATE,380.0,350.0,15.0,60.0
181,CAROLINE,CARDIUM (E POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.9278,-114.5405,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7975,CRETACEOUS,SANDSTONE,300.0,7.0,11.0,20.0
182,CAROLINE,SWAN HILLS (BEAVERHILL LAKE A),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.9278,-114.5405,NUMEROUS,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,FORELAND,11500,DEVONIAN,DOLOMITE,300.0,60.0,10.0,100.0
183,CAROLINE,VIKING,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,51.9278,-114.5405,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7600,CRETACEOUS,SANDSTONE,158.0,15.0,9.5,10.0
184,CARPINTERIA,PICO,USA,NORTH AMERICA,VENTURA,COMPRESSION/STRIKE-SLIP/TRANSPRESSION/SHALE/BASEMENT-I,34.3408,-119.5309,PXP AND OTHERS,OFFSHORE,OIL,DECLINING PRODUCTION,THRUST/WRENCH,1835,NEOGENE,SANDSTONE,2000.0,350.0,28.0,550.0
185,CARROT CREEK,CARDIUM (CARROT CREEK),CANADA,NORTH AMERICA,WESTERN CANADA,,53.4814,-115.7487,BP AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5200,CRETACEOUS,CONGLOMERATE,300.0,15.0,,15.0
186,CARTHAGE,COTTON VALLEY SANDSTONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.1988,-94.2574,NUMEROUS,ONSHORE,GAS,PLATEAU PRODUCTION,PASSIVE MARGIN,8200,JURASSIC,SANDSTONE,1500.0,150.0,7.0,0.04
187,CARTHAGE,LOWER PETTET (SLIGO),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.1988,-94.2574,NUMEROUS,ONSHORE,GAS,REJUVENATING,PASSIVE MARGIN,5852,CRETACEOUS,LIMESTONE,250.0,15.0,18.0,35.0
